id,Debt_to_Income_Ratio,Hard_Inquiries,Missed_Payments,Total_Outstanding_Debt,Loan_Deferrals,Early_Warning_Event,Change_in_FICO_Score,annual_inc,LOR,home_ownership,Age,Change_in_Employment_Status,Significant_Drop_in_Savings
67910008,68.50453068,3,0,54663.24492,2,1,-64,28000,314,MORTGAGE,28,1,1193.02122
67918234,44.56815551,3,1,77949.27219,0,1,-65,42000,71,MORTGAGE,28,0,3963.051981
67919197,58.56838473,2,0,70497.40379,2,1,-49,60000,134,RENT,36,0,1023.745131
67929066,66.97424146,3,2,43220.43315,0,1,-43,33000,136,RENT,18,0,2274.805315
67929432,66.71424378,3,1,48231.57104,0,1,-52,45000,135,RENT,35,1,513.5822586
67929990,62.29870201,3,2,50760.68184,1,1,-9,70000,196,OWN,37,1,116.7049847
67938834,67.08629861,3,2,49442.6437,0,1,-26,65000,158,RENT,29,1,80.76587398
67949375,38.16464135,3,1,65370.05719,1,1,-15,60000,250,MORTGAGE,36,1,1678.310942
67949909,80.0053063,2,0,76123.93771,0,1,-45,62500,76,RENT,47,1,630.9764455
67960209,57.01077363,3,0,77500.49661,2,1,9,150000,249,MORTGAGE,42,0,4426.241982
67968199,77.62620302,3,1,34619.73535,0,1,-24,65000,126,RENT,25,0,1610.128796
67969664,76.46940037,1,1,55228.17769,2,1,-33,38000,151,RENT,24,0,5473.587458
67969918,61.30197916,3,1,30749.21457,1,1,8,51000,175,OWN,45,1,302.7405583
67978206,43.34516099,2,1,77093.85243,2,1,-53,325000,334,OWN,45,1,4371.460402
67980147,30.22352462,3,1,52927.5429,2,1,-30,70000,124,RENT,37,1,499.1831347
67980469,40.44940313,3,1,49548.97116,2,1,-10,70000,154,MORTGAGE,37,1,355.6851125
67988243,46.8555856,3,1,57602.84963,2,1,3,40000,366,MORTGAGE,44,1,927.3394052
67989121,59.69529743,2,1,54645.00022,2,1,4,105000,114,MORTGAGE,29,1,8753.59708
68008525,53.91792517,1,1,65285.63019,2,1,-49,134000,194,MORTGAGE,29,0,8456.872275
68008889,68.17790002,2,1,69484.43693,0,1,-1,90000,254,MORTGAGE,47,0,553.871088
68009000,44.49105277,3,0,48539.38057,1,1,-44,40000,170,RENT,41,1,3489.538762
68009144,80.62537758,1,1,51509.35893,0,1,-16,47000,163,RENT,34,1,8342.612642
68009442,48.81323291,3,1,66641.89143,1,1,-55,69000,51,MORTGAGE,21,0,3264.172639
68009886,37.46345136,2,2,80936.53163,2,1,-19,61000,185,MORTGAGE,32,1,338.1527149
68009900,72.61454233,0,1,33124.18318,2,1,-56,126000,379,MORTGAGE,20,1,527.2684821
68009999,70.63007955,1,2,52200.10524,1,1,-42,100000,143,MORTGAGE,23,0,537.7741378
68010085,58.13491492,3,1,62895.07138,2,1,14,46250,344,MORTGAGE,52,1,3318.205481
68018624,25.23140847,3,3,64533.51025,2,1,41,63000,103,RENT,43,1,1177.607083
68019872,67.43563986,3,1,59251.6106,0,1,-38,48000,134,RENT,51,1,1535.929788
68028889,35.7227286,2,0,84255.82761,2,1,-24,31000,146,RENT,30,0,1716.585154
68028921,47.80506441,0,1,76060.60955,2,1,-35,200000,216,MORTGAGE,40,1,9287.431528
68030088,56.99067625,3,1,29817.13156,2,1,-70,56300,133,MORTGAGE,29,0,4905.792136
68052118,55.20306468,3,0,69165.39945,2,1,-69,27000,224,RENT,28,0,2516.41459
68052610,69.88139558,0,0,53205.24379,2,1,-39,40000,115,MORTGAGE,42,1,3174.920848
68062222,55.07576269,2,1,52830.34392,2,1,-16,42000,139,RENT,63,1,992.5620299
68062314,58.33857679,1,2,66270.35228,2,1,-6,23000,248,RENT,24,1,641.7529097
68062338,47.31302249,3,0,59630.51441,2,1,-7,180000,288,MORTGAGE,48,1,2537.547181
68072341,55.41385004,3,1,62064.15497,0,1,-52,92500,185,MORTGAGE,75,1,3966.865171
68072470,83.33727588,1,0,54249.50969,2,1,-18,45000,163,RENT,50,0,2844.526754
68092379,45.24583253,3,2,53951.02933,2,1,6,86000,200,MORTGAGE,55,1,438.0343711
68092735,62.06849372,3,0,55545.70686,1,1,5,30000,131,RENT,18,1,2533.735291
68102322,69.18342429,2,1,69083.79981,0,1,-34,99000,160,RENT,28,0,3657.902927
68122603,49.56445143,3,1,48624.95165,2,1,9,51000,205,MORTGAGE,54,1,420.8597952
68122667,53.04701632,3,1,64656.52923,0,1,-36,72000,187,RENT,26,1,688.8648378
68132168,50.93557396,3,0,47838.99805,2,1,-25,30000,86,RENT,34,1,4651.633779
68132554,62.61180429,3,2,56747.90818,0,1,0,134296,316,MORTGAGE,27,1,211.0096471
68142739,62.24097098,3,0,54316.34064,2,1,15,68190,186,RENT,26,1,410.9842233
68162773,64.38644984,3,1,70876.67209,2,1,10,61000,180,MORTGAGE,23,0,5115.832762
68162879,50.13017297,3,0,62012.35009,2,1,-8,150000,273,MORTGAGE,21,1,660.2410008
68182493,50.92223823,3,0,69107.34029,2,1,-2,49200,184,MORTGAGE,46,1,7696.374234
68182626,53.2160689,3,0,54828.55055,2,1,57,55000,194,MORTGAGE,25,1,7967.52036
68182913,59.57875618,1,1,52350.58067,2,1,-30,60000,146,OWN,24,1,1207.333671
68183006,74.78584402,2,1,75811.51172,0,1,-22,27000,108,OWN,29,0,4464.397148
68192805,71.38466926,1,2,47014.244,0,1,-26,33130,259,MORTGAGE,34,0,3247.449052
68202162,58.1030547,2,1,44454.88567,2,1,-11,40000,183,MORTGAGE,18,1,78.82011346
68202355,41.58434544,3,1,94179.25423,1,1,-26,65000,224,RENT,27,0,447.0465431
68212507,76.39676025,2,1,53667.53233,0,1,-2,55000,182,MORTGAGE,30,1,1104.00574
68212765,40.94551801,3,1,71733.75868,2,1,-49,89512,171,RENT,26,0,5049.960204
68232819,13.24268193,3,2,52801.94961,2,1,-57,50000,143,RENT,45,0,3464.693439
68232832,52.97657541,2,2,73562.11395,1,1,-23,40000,173,MORTGAGE,56,1,2091.992809
68242905,62.77599785,2,0,69952.82955,2,1,-3,75000,301,MORTGAGE,47,0,2947.24245
68252201,63.74934059,1,0,62644.33703,2,1,48,40000,158,RENT,39,1,6014.211191
68272654,61.67913459,2,0,71193.96256,2,1,-41,41000,147,RENT,27,0,1275.866467
68272705,63.92403751,2,1,71199.94048,2,1,-17,52874,402,OWN,46,1,3875.483777
68272809,66.47077772,1,2,56513.64486,2,1,-56,18000,40,RENT,44,0,2562.436939
68282268,80.22745394,3,1,64165.24723,0,1,-70,56000,213,MORTGAGE,18,0,148.6870133
68292319,59.13279244,2,0,72858.70623,2,1,-8,80000,278,MORTGAGE,22,1,3251.273614
68312285,69.57926285,3,1,71298.38482,0,1,25,85000,85,MORTGAGE,51,1,5170.814263
68312406,51.66724714,2,2,68127.5659,2,1,-14,36000,155,RENT,38,1,1001.924831
68312411,62.80066132,3,1,44160.57635,2,1,-17,102900,351,MORTGAGE,29,0,896.798409
68312454,46.92577934,3,0,57069.94887,2,1,-32,68500,172,MORTGAGE,29,0,2060.751888
68312887,48.92162879,2,2,77003.29588,0,1,41,50000,25,MORTGAGE,21,1,1657.38033
68338238,37.22087642,3,2,65422.7891,2,1,-19,50000,285,RENT,32,1,40.73375474
68340129,52.28434492,1,1,68918.25569,2,1,-38,35000,113,MORTGAGE,35,1,1189.439337
68340470,61.64150395,3,2,43690.20431,0,1,-14,87000,211,OWN,58,1,2266.202521
68341358,61.16186029,3,1,69246.39818,0,1,-35,85000,111,MORTGAGE,62,0,7227.934071
68341395,54.85217348,3,0,75758.76033,2,1,-14,37500,197,MORTGAGE,56,1,44.29339138
68353481,59.85741794,3,0,47854.77723,2,1,-17,30000,299,MORTGAGE,29,1,1427.152154
68355004,15.66737408,1,3,85765.60499,2,1,22,230000,215,MORTGAGE,60,1,386.053156
68355110,57.32780996,2,1,43139.32735,2,1,-46,85000,154,OWN,71,0,4500.331811
68355292,61.51132154,2,2,79849.17117,0,1,-40,38000,153,RENT,47,0,1350.88065
68356324,58.34417553,3,3,30623.36669,2,1,-34,50000,137,RENT,48,0,8432.456863
68356337,65.27599941,3,0,88258.68545,2,1,15,45000,124,RENT,44,1,7358.472832
68363575,57.89078876,3,1,41368.49977,2,1,-41,38000,55,RENT,29,1,1475.763
68363993,67.41359105,1,0,54430.23031,2,1,8,120000,172,MORTGAGE,34,1,645.5226573
68364006,64.41400043,3,0,56869.57708,2,1,-34,22140,166,RENT,60,1,2051.320884
68364826,52.4407121,1,2,40965.3722,2,1,-22,75000,91,RENT,23,0,14632.90785
68365896,59.33736865,3,1,63111.51103,0,1,-28,35300,153,MORTGAGE,43,1,1494.606506
68366679,70.04108961,3,0,42614.66338,0,1,-4,33000,110,RENT,43,1,3824.76773
68367006,70.54176312,1,2,53242.49654,2,1,-51,85000,128,MORTGAGE,27,0,16442.6524
68373157,51.06398163,3,3,45555.18608,0,1,-1,46000,20,RENT,28,0,11267.11059
68373553,72.15654347,2,0,65253.26284,2,1,-43,200000,253,RENT,47,1,3024.369942
68375903,38.5815738,3,2,78670.73303,0,1,-38,39000,148,RENT,48,1,179.8279762
68383378,58.57098774,3,1,64870.59787,1,1,30,15000,152,RENT,47,1,428.7474026
68383498,76.27416025,1,0,40925.45938,2,1,-16,35000,131,RENT,44,1,2729.20922
68384232,52.72016219,3,2,69573.28814,2,1,-2,55000,127,MORTGAGE,42,1,1239.407018
68384862,70.590192,1,1,60701.95347,1,1,-69,19000,81,RENT,33,1,472.1972481
68385472,76.01282187,2,1,43221.66214,1,1,-46,25000,323,MORTGAGE,56,1,1020.84394
68385795,59.02956105,3,0,65334.43505,1,1,3,65000,108,MORTGAGE,37,1,876.61226
68393232,49.19298995,3,0,72306.91446,1,1,-32,55000,234,MORTGAGE,34,1,3290.73508
68393736,54.70909958,2,1,50055.10856,2,1,-17,60000,218,RENT,48,1,4876.77004
68394613,79.19550053,3,1,31451.93314,0,1,-6,110000,218,OWN,38,1,2400.180734
68394844,69.71029344,3,1,72109.0983,1,1,-34,62000,190,MORTGAGE,50,1,4405.203069
68395043,41.54911986,2,1,69227.49611,2,1,-8,38000,145,RENT,24,1,4243.148856
68396899,67.36497645,2,0,82198.06321,0,1,3,76000,167,MORTGAGE,43,1,7916.123666
68403701,65.60400008,2,2,63078.62007,0,1,11,110000,200,MORTGAGE,61,0,6057.775868
68403710,73.8253575,2,1,39319.73691,1,1,-7,125000,111,RENT,48,0,15041.85156
68404496,60.02790568,3,1,60930.91875,0,1,-7,350000,261,MORTGAGE,44,1,14277.60351
68406624,56.10290657,2,1,79165.60516,2,1,-55,45000,92,RENT,54,1,5688.810973
68415164,52.9038299,1,1,54684.98259,2,1,24,65000,104,MORTGAGE,38,1,888.6060295
68415432,46.43499266,3,0,82851.39586,0,1,-60,54000,147,RENT,23,1,3149.381953
68416935,57.44814075,1,0,58431.86243,2,1,-3,92000,169,MORTGAGE,28,1,1164.129243
68423217,48.08934476,3,0,64950.31583,2,1,25,178500,144,OWN,43,1,5134.338957
68423266,68.18836931,1,1,53510.49174,1,1,15,47000,153,MORTGAGE,39,1,3268.171912
68423623,41.05963099,3,3,50860.75202,2,1,-38,50000,65,MORTGAGE,36,1,1823.215331
68423963,53.8227491,1,3,56301.56306,2,1,14,54375,111,MORTGAGE,47,1,2740.455836
68424186,39.3101643,3,1,90960.63309,0,1,0,85000,217,RENT,39,1,827.7879577
68424618,35.07299125,3,2,79804.63506,0,1,42,90000,85,RENT,45,1,3662.34823
68425104,46.5486484,3,2,46485.55327,2,1,-21,80000,160,MORTGAGE,23,1,2703.778027
68426094,76.39448593,0,1,35444.99068,2,1,2,110000,173,MORTGAGE,33,1,83.36250521
68426569,63.51806933,3,0,82941.09684,0,1,-22,48000,253,RENT,43,1,1096.993922
68433386,62.67320807,2,2,74438.48808,0,1,-13,200000,256,MORTGAGE,34,1,1633.498801
68433766,83.59192541,1,0,63924.24194,0,1,-2,29700,46,RENT,44,1,4166.638276
68434374,57.77163304,2,1,62142.0715,1,1,-23,46000,127,RENT,38,1,2018.299881
68434382,43.47355989,2,2,60873.3756,2,1,24,58000,340,MORTGAGE,26,1,839.7568325
68434450,40.83762741,1,1,77269.47929,2,1,35,52000,134,MORTGAGE,27,1,622.4439876
68434802,65.27398733,3,1,53673.45343,1,1,-38,52000,124,MORTGAGE,41,1,3744.246796
68443264,50.51257256,3,1,65908.88965,0,1,-8,116000,150,OWN,69,1,264.0195169
68443655,52.9690378,3,1,68598.77153,2,1,-27,55000,357,MORTGAGE,39,1,1030.995095
68443857,74.27204069,0,0,65801.91775,2,1,15,42000,60,RENT,33,1,173.1248682
68444020,53.48625507,2,1,71683.35666,1,1,-15,56640,101,RENT,33,1,568.8350846
68444808,65.33418056,3,1,57481.6863,1,1,-17,50000,151,RENT,38,1,3961.679534
68463607,69.64971775,2,1,57552.69209,0,1,-26,80000,216,MORTGAGE,28,1,2739.201386
68463628,48.89698693,2,0,63982.52454,2,1,-25,53000,105,OWN,41,1,3778.256756
68464562,65.41500637,3,0,68481.96024,0,1,7,67900,259,MORTGAGE,33,1,1311.547174
68466135,53.7267891,3,1,73292.0185,0,1,42,42000,230,MORTGAGE,36,1,334.4439806
68466298,48.3029172,3,0,50182.01983,2,1,75,80000,370,MORTGAGE,26,1,1187.142831
68475597,64.69439143,1,1,42047.21441,2,1,-51,56000,115,RENT,29,0,4308.95931
68476147,35.16363187,3,3,67162.65798,0,1,-26,85000,153,MORTGAGE,56,1,1185.714709
68483143,39.56415501,3,1,45647.10815,2,1,-98,30000,130,RENT,46,0,5986.434677
68483535,71.49740339,3,0,56653.2972,2,1,6,57200,140,MORTGAGE,38,1,1934.236719
68483793,64.52053858,3,0,45624.24863,2,1,-33,120000,178,MORTGAGE,46,1,889.8085438
68484223,37.30571627,3,0,80714.83282,2,1,4,50000,131,RENT,30,1,158.3901053
68484307,38.16841661,2,3,36086.49504,2,1,-18,40000,88,MORTGAGE,32,1,84.377402
68485317,56.49021782,3,1,57033.01377,0,1,16,75000,250,MORTGAGE,38,1,2230.919196
68486835,57.37742937,2,1,82452.323,0,1,-71,75000,174,MORTGAGE,46,1,29.10566277
68486912,29.8226249,3,2,63029.61697,2,1,3,49000,148,RENT,22,0,7951.111922
68494340,68.72152968,1,1,45535.76365,2,1,-1,52000,231,MORTGAGE,46,0,4957.301445
68494623,59.96743625,1,1,74913.36966,1,1,-52,48000,319,MORTGAGE,20,1,2226.23919
68495025,54.8903623,2,2,48951.43096,2,1,-17,34000,93,RENT,46,0,14014.17241
68495121,44.65643302,3,1,49556.51973,2,1,6,89000,292,MORTGAGE,18,1,163.0051771
68496845,73.01900366,1,1,62292.45224,0,1,-31,100000,271,MORTGAGE,30,1,4863.005185
68505313,46.6763043,3,1,73458.74228,0,1,-10,45000,247,OWN,32,0,52.36868214
68505584,53.89745022,3,1,51964.08818,0,1,-32,68000,144,RENT,40,0,1125.293886
68506125,75.70291701,2,1,46198.13522,2,1,83,90000,161,MORTGAGE,18,1,39.78421401
68513613,44.9571952,3,2,63883.92869,2,1,-89,30000,159,RENT,21,1,1982.281209
68514377,51.34519936,3,1,45531.88678,2,1,-7,112688,265,MORTGAGE,45,1,823.1623074
68514632,57.92637855,1,1,55133.32352,2,1,-18,80000,155,MORTGAGE,46,1,5550.110673
68515896,47.79311481,3,0,66324.16772,2,1,33,145000,65,MORTGAGE,38,1,614.4921001
68516214,66.67396692,2,0,48830.43785,2,1,-62,80000,348,MORTGAGE,40,1,919.2313147
68523337,61.60423892,3,0,74963.55766,2,1,3,93000,155,RENT,30,0,8135.549958
68524176,57.12869479,2,2,61273.27509,0,1,-22,40000,142,RENT,28,1,1238.024988
68524745,71.82217724,3,1,49285.16117,0,1,55,60000,99,RENT,53,1,15914.15304
68525258,27.02096062,3,1,55838.76345,2,1,-46,75000,429,MORTGAGE,18,0,4083.935746
68525354,44.23005702,3,2,41994.92297,1,1,-52,70000,118,MORTGAGE,52,0,1999.075223
68525364,30.9889191,3,0,77151.29763,2,1,-17,130000,177,MORTGAGE,23,1,1868.985136
68525520,66.93825792,2,0,68298.24266,2,1,-46,37200,188,RENT,23,1,29.52389446
68525548,44.22605937,3,1,59852.95225,2,1,-63,65000,56,MORTGAGE,24,0,8880.082073
68525874,54.55255,1,0,88176.28615,2,1,-84,40000,150,MORTGAGE,42,0,28.18112658
68534737,51.62129006,3,0,73997.56954,1,1,-13,70000,300,OWN,22,1,3107.559963
68535053,74.25985411,1,2,62919.26266,0,1,-25,80000,162,MORTGAGE,28,1,1503.095992
68535716,57.51868532,3,2,54667.10228,2,1,19,45000,250,RENT,32,1,5028.514563
68536503,75.54887437,3,0,63228.7328,0,1,-51,51000,163,RENT,42,1,48.57367617
68537075,44.50834385,1,1,82908.90545,2,1,-32,52000,142,RENT,46,1,603.7740571
68537655,56.24053652,1,1,57900.76594,2,1,-2,118000,222,MORTGAGE,39,1,3374.385071
68543442,66.9302961,2,0,45049.11153,2,1,-45,35830,76,MORTGAGE,34,1,8587.594591
68543519,57.21637763,3,2,52682.0363,0,1,-4,65000,405,OWN,54,1,679.3696947
68543731,49.50567371,3,1,89639.24297,0,1,-41,80000,199,MORTGAGE,25,0,3109.401038
68546023,45.69558624,3,2,54876.65549,1,1,6,21000,151,RENT,41,1,1232.573677
68553123,65.31155895,1,1,32692.10521,2,1,-39,46800,137,RENT,45,1,4142.412527
68553229,73.35526382,0,2,64124.41299,0,1,-21,67500,78,RENT,33,1,1031.535748
68553303,55.68197064,3,1,60650.66566,1,1,-55,125000,133,MORTGAGE,67,1,6202.180046
68563287,59.8665223,3,1,72748.77273,2,1,-7,82000,203,MORTGAGE,62,1,1254.74882
68564288,51.74988203,3,0,50439.62054,1,1,-22,85000,138,MORTGAGE,46,0,2547.869829
68564479,44.07638906,2,3,42425.23326,2,1,-70,88000,350,MORTGAGE,30,0,9038.201373
68564576,65.03109244,1,0,80106.72783,2,1,-18,85000,216,MORTGAGE,28,1,4157.285977
68565071,35.72933568,3,1,61247.23799,2,1,-78,61259,153,RENT,50,0,5166.640605
68566048,58.60021225,2,1,58729.37395,2,1,-24,90509,125,RENT,30,0,1204.775901
68566495,47.34926162,2,1,55960.0683,2,1,15,48000,187,RENT,43,1,2118.411138
68566614,71.91012069,3,0,50310.93408,0,1,-9,54000,162,RENT,37,1,1459.788516
68573141,36.20515737,3,0,59891.475,2,1,17,25000,267,RENT,42,0,7440.561647
68573518,39.16000862,3,1,57867.63336,2,1,-49,36000,107,MORTGAGE,37,1,1481.443987
68574886,46.09026524,3,1,37997.06875,2,1,-62,20000,316,MORTGAGE,29,0,2573.017002
68575289,72.45161018,1,1,68912.1247,2,1,29,46000,41,RENT,44,1,2912.616435
68576389,50.18359322,3,0,84699.03839,0,1,-36,25000,207,RENT,28,0,190.5076731
68577627,77.88265161,3,2,79691.6801,0,1,50,40000,174,OWN,32,1,259.1347004
68583678,51.10289956,2,2,38513.01271,2,1,-60,27429,45,MORTGAGE,47,0,3347.662269
68583697,74.51978582,3,0,59406.2033,0,1,-41,95700,299,OWN,25,1,2676.151309
68584527,81.21706226,0,0,46017.65672,2,1,32,40000,198,OWN,36,1,1844.320682
68584790,67.01292189,3,0,42903.8389,2,1,-81,57000,35,RENT,30,1,988.7638644
68585666,66.27556322,1,1,84114.87905,0,1,33,187000,230,MORTGAGE,56,1,867.3076536
68585995,71.87466236,0,2,29045.48112,2,1,-70,50300,285,MORTGAGE,52,1,5011.905332
68593177,48.59026558,3,0,68074.08312,2,1,-19,55000,216,RENT,48,1,1082.275674
68593501,67.68734947,2,1,58917.74365,0,1,-12,49000,246,MORTGAGE,62,0,779.4192856
68593751,43.9021138,3,0,50050.09545,2,1,62,115000,142,MORTGAGE,37,1,6398.229723
