current_delinquency_status,ever_30_plus_dpd_in_last_12m,casa_balance_to_emi_ratio_6m,customer_age,salary_to_emi,num_loans_all_product_category,length_of_relationship,max_delinquency_in_last_6m,outstanding_amt_to_gross_amt,family_size,years_of_service,event,casa_balance_to_emi_ratio_6m_g,customer_age_g,salary_to_emi_g,num_loans_all_product_category_g,length_of_relationship_g,outstanding_amt_to_gross_amt_g,family_size_g,years_of_service_g
Not Delinquent,Yes,0.294498305,50,1.109178243,4,51.69566408,>0,0.460224153,11,30,1,0.15-0.31,43+,0-2.59,4-5,4,0.37779-0.78095,>1,23+
Not Delinquent,Yes,0.076787903,27,3.800944039,4,61.4187712,>0,0.083591644,1,11,1,0-0.15,25-27,2.59-4.94,4-5,4,<0.35429,1,6-11
Delinquent,No,0.261356477,25,2.784210468,2,8.859149392,0,0.044097463,0,12,1,0.15-0.31,25-27,2.59-4.94,2,2,<0.35429,0,12-17
Not Delinquent,Yes,0.102611595,44,1.836138481,3,81.62864814,>0,0.303871077,8,27,1,0-0.15,43+,0-2.59,3,3,<0.35429,>1,23+
Delinquent,No,8.129596223,39,1.545605039,4,155.0613249,0,7.068930663,1,4,1,5.57-14.26,39-42,0-2.59,4-5,4,>0.78095,1,1-5
Not Delinquent,Yes,2.827464718,19,3.180963676,4,109.8052722,>0,0.249280294,1,4,1,1.73-2.9,18-24,2.59-4.94,4-5,4,<0.35429,1,1-5
Delinquent,No,0.084605152,26,4.820034948,3,17.12183909,0,6.936528339,4,27,1,0-0.15,25-27,2.59-4.94,3,3,>0.78095,>1,23+
Delinquent,No,0.265547001,26,6.808065029,2,110.1357983,0,9.643522622,1,2,1,0.15-0.31,25-27,4.94+,2,2,>0.78095,1,1-5
Not Delinquent,Yes,5.481576217,38,1.291771497,1,24.84950022,>0,7.162228474,4,9,1,2.9-5.57,37-38,0-2.59,1,1,>0.78095,>1,6-11
Delinquent,No,1.635487022,45,0.715424599,3,62.41018147,>0,0.537957208,2,30,1,1.11-1.73,43+,0-2.59,3,3,0.37779-0.78095,>1,23+
Delinquent,No,0.0644197,21,0.129967587,4,151.2749872,0,0.180720755,8,13,1,0-0.15,18-24,0-2.59,4-5,4,<0.35429,>1,12-17
Not Delinquent,Yes,0.093431678,25,0.828990828,6,158.9313093,>0,0.064264128,1,21,1,0-0.15,25-27,0-2.59,6+,6,<0.35429,1,18-22
Delinquent,No,0.931941022,29,4.404537418,2,13.06532699,0,10.12190301,8,26,1,0.74-1.11,28-29,2.59-4.94,2,2,>0.78095,>1,23+
Delinquent,No,0.471355188,21,7.128943117,2,101.819207,>0,0.373965004,3,7,1,0.31-0.49,18-24,4.94+,2,2,0.35429-0.37779,>1,6-11
Delinquent,No,0.082154398,33,8.23658303,4,112.2547487,>0,0.364453039,4,8,1,0-0.15,32-33,4.94+,4-5,4,0.35429-0.37779,>1,6-11
Delinquent,No,20.470565,36,10.29209118,4,153.5143369,>0,3.627020001,7,20,1,14.26+,34-36,4.94+,4-5,4,>0.78095,>1,18-22
Not Delinquent,Yes,0.532927803,47,4.119981887,1,107.6038205,>0,2.162283399,1,2,1,0.49-0.74,43+,2.59-4.94,1,1,>0.78095,1,1-5
Delinquent,Yes,0.391778523,35,4.868092193,4,79.46875803,>0,0.472188212,6,7,1,0.31-0.49,34-36,2.59-4.94,4-5,4,0.37779-0.78095,>1,6-11
Delinquent,No,0.286455761,25,1.531450465,1,95.22102061,0,8.17970854,2,9,1,0.15-0.31,25-27,0-2.59,1,1,>0.78095,>1,6-11
Delinquent,Yes,2.778399197,36,9.298422523,4,35.71883174,0,0.355544719,7,1,1,1.73-2.9,34-36,4.94+,4-5,4,0.35429-0.37779,>1,1-5
Delinquent,Yes,0.072115397,45,3.604681598,10,155.7486274,0,0.356217471,11,2,1,0-0.15,43+,2.59-4.94,6+,10,0.35429-0.37779,>1,1-5
Not Delinquent,Yes,0.11980016,33,4.688560016,4,151.082058,>0,0.039047889,4,10,1,0-0.15,32-33,2.59-4.94,4-5,4,<0.35429,>1,6-11
Not Delinquent,Yes,5.398448648,18,3.369373227,2,47.56363519,>0,0.47881062,1,28,1,2.9-5.57,18-24,2.59-4.94,2,2,0.37779-0.78095,1,23+
Not Delinquent,Yes,0.386058903,22,3.005374339,1,70.38277463,>0,0.384181814,0,2,1,0.31-0.49,18-24,2.59-4.94,1,1,0.37779-0.78095,0,1-5
Delinquent,Yes,1.2508592,30,7.779788709,5,65.26820572,0,0.360604812,1,20,1,1.11-1.73,30-31,4.94+,4-5,5,0.35429-0.37779,1,18-22
Delinquent,Yes,0.621958051,39,3.244169088,3,63.73952962,0,4.420155913,1,7,1,0.49-0.74,39-42,2.59-4.94,3,3,>0.78095,1,6-11
Delinquent,Yes,0.407351678,37,5.601630943,9,108.2761362,>0,0.371455529,1,1,1,0.31-0.49,37-38,4.94+,6+,9,0.35429-0.37779,1,1-5
Delinquent,No,0.974421191,28,4.195776545,4,70.06091754,0,9.89799438,8,4,1,0.74-1.11,28-29,2.59-4.94,4-5,4,>0.78095,>1,1-5
Not Delinquent,Yes,10.3101985,22,0.963524429,4,154.9370217,>0,2.516124783,2,16,1,5.57-14.26,18-24,0-2.59,4-5,4,>0.78095,>1,12-17
Delinquent,No,0.141719342,41,1.472287529,3,15.18814653,0,0.32748251,8,21,1,0-0.15,39-42,0-2.59,3,3,<0.35429,>1,18-22
Delinquent,Yes,0.878794941,34,3.200014163,3,22.31968956,0,0.362429592,3,15,1,0.74-1.11,34-36,2.59-4.94,3,3,0.35429-0.37779,>1,12-17
Not Delinquent,Yes,0.05056133,22,3.106214749,1,26.01767602,>0,0.53986443,1,29,1,0-0.15,18-24,2.59-4.94,1,1,0.37779-0.78095,1,23+
Not Delinquent,Yes,0.003383131,22,3.05720204,4,23.74278647,0,2.151116868,2,13,1,0-0.15,18-24,2.59-4.94,4-5,4,>0.78095,>1,12-17
Not Delinquent,Yes,13.21024833,30,2.9276554,5,77.98506435,>0,0.586071712,2,24,1,5.57-14.26,30-31,2.59-4.94,4-5,5,0.37779-0.78095,>1,23+
Delinquent,No,0.283009651,40,2.561351692,2,86.99836919,0,4.876316787,1,7,1,0.15-0.31,39-42,0-2.59,2,2,>0.78095,1,6-11
Delinquent,No,0.082551983,19,4.295881234,2,134.1852204,0,0.56732284,3,3,1,0-0.15,18-24,2.59-4.94,2,2,0.37779-0.78095,>1,1-5
Delinquent,No,0.867724509,37,2.058953184,2,122.5383216,>0,0.516494973,1,19,1,0.74-1.11,37-38,0-2.59,2,2,0.37779-0.78095,1,18-22
Delinquent,No,0.998843846,18,0.977016192,3,67.62692637,0,8.58119656,8,25,1,0.74-1.11,18-24,0-2.59,3,3,>0.78095,>1,23+
Not Delinquent,Yes,0.308969655,23,0.427846577,4,156.8111061,>0,0.349486935,1,10,1,0.15-0.31,18-24,0-2.59,4-5,4,<0.35429,1,6-11
Not Delinquent,Yes,0.559112609,27,11.20670624,4,9.929589137,>0,3.873443237,3,24,1,0.49-0.74,25-27,4.94+,4-5,4,>0.78095,>1,23+
Not Delinquent,Yes,2.214757589,39,1.223158373,5,22.19599752,>0,0.359556305,1,21,1,1.73-2.9,39-42,0-2.59,4-5,5,0.35429-0.37779,1,18-22
Not Delinquent,Yes,0.073101282,21,6.693682472,2,144.0128,>0,0.36589677,1,18,1,0-0.15,18-24,4.94+,2,2,0.35429-0.37779,1,18-22
Delinquent,No,17.10251382,27,3.597053551,4,19.54708379,0,8.556637703,5,3,1,14.26+,25-27,2.59-4.94,4-5,4,>0.78095,>1,1-5
Delinquent,No,0.17543759,23,1.720065912,2,80.00557176,0,0.072578348,1,23,1,0.15-0.31,18-24,0-2.59,2,2,<0.35429,1,23+
Not Delinquent,Yes,18.19396563,46,0.292204545,9,154.327232,>0,3.636211349,2,6,1,14.26+,43+,0-2.59,6+,9,>0.78095,>1,6-11
Delinquent,No,0.496882653,33,1.78221834,5,71.90487945,0,8.036587318,7,5,1,0.49-0.74,32-33,0-2.59,4-5,5,>0.78095,>1,1-5
Delinquent,No,5.320327798,34,0.399924343,3,156.6755942,>0,0.409657721,4,25,1,2.9-5.57,34-36,0-2.59,3,3,0.37779-0.78095,>1,23+
Delinquent,Yes,0.866085471,31,0.775402391,12,81.96045891,0,2.997494126,2,9,1,0.74-1.11,30-31,0-2.59,6+,12,>0.78095,>1,6-11
Not Delinquent,Yes,0.518130189,22,0.080905574,2,113.4467497,>0,0.363198596,2,4,1,0.49-0.74,18-24,0-2.59,2,2,0.35429-0.37779,>1,1-5
Delinquent,No,4.105465603,23,4.515112916,3,159.9961695,0,8.465395336,2,4,1,2.9-5.57,18-24,2.59-4.94,3,3,>0.78095,>1,1-5
Delinquent,Yes,16.34282297,32,6.534332432,11,85.42561903,0,0.357565374,2,11,1,14.26+,32-33,4.94+,6+,11,0.35429-0.37779,>1,6-11
Not Delinquent,Yes,0.035431438,29,0.547481397,3,29.13301395,0,7.023838649,3,10,1,0-0.15,28-29,0-2.59,3,3,>0.78095,>1,6-11
Delinquent,No,0.049003779,29,2.53384591,3,121.3666221,0,9.526834228,0,18,1,0-0.15,28-29,0-2.59,3,3,>0.78095,0,18-22
Delinquent,No,0.079929098,40,8.928118858,2,76.50512556,0,10.15443777,3,15,1,0-0.15,39-42,4.94+,2,2,>0.78095,>1,12-17
Delinquent,No,0.067952011,22,12.13093268,3,25.42840562,0,0.369352857,0,3,1,0-0.15,18-24,4.94+,3,3,0.35429-0.37779,0,1-5
Delinquent,No,0.483488989,36,0.255709954,4,61.62526093,0,0.444215366,1,2,1,0.31-0.49,34-36,0-2.59,4-5,4,0.37779-0.78095,1,1-5
Not Delinquent,Yes,0.670871735,26,4.881376909,4,3.983818519,>0,0.713549011,10,14,1,0.49-0.74,25-27,2.59-4.94,4-5,4,0.37779-0.78095,>1,12-17
Delinquent,No,12.36826488,34,1.689440554,5,20.80298444,0,1.905525173,1,4,1,5.57-14.26,34-36,0-2.59,4-5,5,>0.78095,1,1-5
Delinquent,No,15.16348157,37,6.523101011,6,52.12905714,>0,7.139300595,10,3,1,14.26+,37-38,4.94+,6+,6,>0.78095,>1,1-5
Delinquent,No,1.921333754,39,9.706205225,3,85.69633645,>0,0.026860951,1,16,1,1.73-2.9,39-42,4.94+,3,3,<0.35429,1,12-17
Delinquent,No,5.960277355,36,1.462280901,4,38.13563723,>0,0.494542039,2,29,1,5.57-14.26,34-36,0-2.59,4-5,4,0.37779-0.78095,>1,23+
Delinquent,Yes,0.156827236,32,3.082484243,14,151.0357164,0,0.360884734,6,7,1,0.15-0.31,32-33,2.59-4.94,6+,14,0.35429-0.37779,>1,6-11
Not Delinquent,Yes,2.361556846,26,4.4781004,3,67.67428608,>0,4.934476243,1,3,1,1.73-2.9,25-27,2.59-4.94,3,3,>0.78095,1,1-5
Delinquent,No,24.05435948,33,4.267737481,2,159.8519568,>0,0.579849369,0,1,1,14.26+,32-33,2.59-4.94,2,2,0.37779-0.78095,0,1-5
Not Delinquent,Yes,0.403938013,40,0.756904708,3,73.4441127,>0,0.099053527,2,27,1,0.31-0.49,39-42,0-2.59,3,3,<0.35429,>1,23+
Not Delinquent,Yes,0.621593965,26,3.76678224,5,63.23235081,>0,9.046418745,9,26,1,0.49-0.74,25-27,2.59-4.94,4-5,5,>0.78095,>1,23+
Delinquent,No,0.246289218,41,4.619479883,5,155.8025569,>0,0.021321112,3,2,1,0.15-0.31,39-42,2.59-4.94,4-5,5,<0.35429,>1,1-5
Delinquent,No,0.140420007,34,3.593401179,11,92.72682378,0,10.62102972,3,4,1,0-0.15,34-36,2.59-4.94,6+,11,>0.78095,>1,1-5
Delinquent,Yes,0.502191289,41,9.869527091,2,145.1821184,0,0.214354469,7,1,1,0.49-0.74,39-42,4.94+,2,2,<0.35429,>1,1-5
Not Delinquent,Yes,0.06251033,36,3.849029809,2,81.98861109,>0,0.36511444,8,29,1,0-0.15,34-36,2.59-4.94,2,2,0.35429-0.37779,>1,23+
Delinquent,No,0.121466375,29,3.73785441,4,69.1087281,0,0.347802157,5,9,1,0-0.15,28-29,2.59-4.94,4-5,4,<0.35429,>1,6-11
Delinquent,Yes,0.22033057,34,14.7987559,2,63.27422627,0,0.531514254,7,8,1,0.15-0.31,34-36,4.94+,2,2,0.37779-0.78095,>1,6-11
Delinquent,No,0.016869136,52,0.235073715,4,76.48744857,0,0.311106689,3,8,1,0-0.15,43+,0-2.59,4-5,4,<0.35429,>1,6-11
Delinquent,No,0.002401447,35,3.859955212,3,15.60771698,0,0.27552119,4,1,1,0-0.15,34-36,2.59-4.94,3,3,<0.35429,>1,1-5
Not Delinquent,Yes,0.73571655,36,3.80468797,4,66.22729479,>0,0.176883813,9,4,1,0.49-0.74,34-36,2.59-4.94,4-5,4,<0.35429,>1,1-5
Delinquent,Yes,14.45460389,26,12.89253863,5,98.11299458,0,3.360485744,9,24,1,14.26+,25-27,4.94+,4-5,5,>0.78095,>1,23+
Delinquent,No,0.891602619,25,1.594427754,2,84.56884058,0,6.036731304,6,13,1,0.74-1.11,25-27,0-2.59,2,2,>0.78095,>1,12-17
Delinquent,No,1.112300573,25,3.345174553,2,158.0821007,>0,0.714048027,3,12,1,1.11-1.73,25-27,2.59-4.94,2,2,0.37779-0.78095,>1,12-17
Delinquent,Yes,18.62607444,38,2.790988218,2,84.95545179,0,0.509117991,6,2,1,14.26+,37-38,2.59-4.94,2,2,0.37779-0.78095,>1,1-5
Delinquent,No,0.102461658,32,3.406010877,2,0.183971462,0,0.740540161,9,21,1,0-0.15,32-33,2.59-4.94,2,2,0.37779-0.78095,>1,18-22
Delinquent,Yes,0.161579672,39,11.30769742,4,151.6189871,>0,0.365065865,11,9,1,0.15-0.31,39-42,4.94+,4-5,4,0.35429-0.37779,>1,6-11
Not Delinquent,Yes,0.237836121,29,0.387160679,4,20.54042847,>0,0.367565306,8,3,1,0.15-0.31,28-29,0-2.59,4-5,4,0.35429-0.37779,>1,1-5
Delinquent,No,0.12000136,27,3.796643117,6,64.27965316,0,0.358779815,3,18,1,0-0.15,25-27,2.59-4.94,6+,6,0.35429-0.37779,>1,18-22
Not Delinquent,Yes,1.035243013,24,1.544136469,4,94.37516491,>0,0.561091481,6,10,1,0.74-1.11,18-24,0-2.59,4-5,4,0.37779-0.78095,>1,6-11
Not Delinquent,Yes,2.426903947,23,4.762952579,2,24.53208496,>0,7.756426114,8,3,1,1.73-2.9,18-24,2.59-4.94,2,2,>0.78095,>1,1-5
Delinquent,No,21.39636576,25,1.562428409,2,8.548148645,0,0.205702917,0,27,1,14.26+,25-27,0-2.59,2,2,<0.35429,0,23+
Not Delinquent,Yes,0.283965032,25,1.574090311,3,87.4639657,>0,0.367656314,10,9,1,0.15-0.31,25-27,0-2.59,3,3,0.35429-0.37779,>1,6-11
Delinquent,No,0.000454471,37,3.908012683,8,40.78626536,0,0.270930019,7,6,1,0-0.15,37-38,2.59-4.94,6+,8,<0.35429,>1,6-11
Delinquent,No,0.032733489,40,4.045551574,9,25.55571109,0,0.355932205,8,2,1,0-0.15,39-42,2.59-4.94,6+,9,0.35429-0.37779,>1,1-5
Not Delinquent,Yes,2.504984793,46,2.659038877,4,94.49177249,>0,9.003852898,2,28,1,1.73-2.9,43+,2.59-4.94,4-5,4,>0.78095,>1,23+
Delinquent,No,9.031647632,30,1.859970281,4,84.68091597,0,3.8970338,6,10,1,5.57-14.26,30-31,0-2.59,4-5,4,>0.78095,>1,6-11
Delinquent,No,4.505037576,31,0.326820393,4,82.73311582,0,2.139913956,7,9,1,2.9-5.57,30-31,0-2.59,4-5,4,>0.78095,>1,6-11
Not Delinquent,Yes,1.559992613,21,7.108704,4,58.81891452,>0,10.65866751,1,15,1,1.11-1.73,18-24,4.94+,4-5,4,>0.78095,1,12-17
Not Delinquent,Yes,0.206889693,26,2.103896502,2,74.09362727,>0,0.246321086,6,4,1,0.15-0.31,25-27,0-2.59,2,2,<0.35429,>1,1-5
Delinquent,No,10.47623253,32,4.246995154,2,12.21606531,0,10.51783582,1,10,1,5.57-14.26,32-33,2.59-4.94,2,2,>0.78095,1,6-11
Not Delinquent,Yes,21.14266746,19,1.839293484,2,40.29140598,>0,0.231911685,0,4,1,14.26+,18-24,0-2.59,2,2,<0.35429,0,1-5
Delinquent,No,0.017066471,30,2.647510611,2,156.308243,0,0.54314203,0,5,1,0-0.15,30-31,2.59-4.94,2,2,0.37779-0.78095,0,1-5
Delinquent,No,3.295081683,26,0.970788763,2,103.5687157,0,5.361194412,2,17,1,2.9-5.57,25-27,0-2.59,2,2,>0.78095,>1,12-17
Not Delinquent,Yes,1.162184657,36,4.845015127,4,38.04659838,>0,0.367572912,1,4,1,1.11-1.73,34-36,2.59-4.94,4-5,4,0.35429-0.37779,1,1-5
Delinquent,No,0.325103315,25,2.14763621,3,18.25791018,0,0.674033323,8,28,1,0.31-0.49,25-27,0-2.59,3,3,0.37779-0.78095,>1,23+
Delinquent,No,0.669205018,35,2.455340938,3,151.2102437,>0,7.160385408,10,12,1,0.49-0.74,34-36,0-2.59,3,3,>0.78095,>1,12-17
Delinquent,Yes,2.332081331,18,2.119802834,2,152.2801513,0,0.634529529,6,2,1,1.73-2.9,18-24,0-2.59,2,2,0.37779-0.78095,>1,1-5
Delinquent,No,0.292519606,37,4.305744832,14,125.053418,>0,0.654810687,10,13,1,0.15-0.31,37-38,2.59-4.94,6+,14,0.37779-0.78095,>1,12-17
Not Delinquent,Yes,0.04591147,32,0.388939526,5,153.6014756,>0,0.180604203,11,19,1,0-0.15,32-33,0-2.59,4-5,5,<0.35429,>1,18-22
Not Delinquent,Yes,12.41473515,38,1.277571483,1,37.78065957,>0,0.683803754,1,3,1,5.57-14.26,37-38,0-2.59,1,1,0.37779-0.78095,1,1-5
Delinquent,No,0.773132913,26,1.745924536,2,76.74541525,>0,0.311507919,2,14,1,0.74-1.11,25-27,0-2.59,2,2,<0.35429,>1,12-17
Delinquent,No,0.166614276,44,14.76665539,3,81.76729115,>0,0.050549528,3,6,1,0.15-0.31,43+,4.94+,3,3,<0.35429,>1,6-11
Delinquent,No,0.305321555,38,4.64306754,3,102.4808255,>0,0.368445151,2,29,1,0.15-0.31,37-38,2.59-4.94,3,3,0.35429-0.37779,>1,23+
Not Delinquent,Yes,0.452169831,27,0.829163197,5,50.56578904,0,10.11800527,10,3,1,0.31-0.49,25-27,0-2.59,4-5,5,>0.78095,>1,1-5
Not Delinquent,Yes,0.060039278,23,3.17433552,3,30.99452848,>0,0.367212446,1,1,1,0-0.15,18-24,2.59-4.94,3,3,0.35429-0.37779,1,1-5
Delinquent,No,0.70591727,26,3.223340673,4,146.4068859,0,2.625148919,1,8,1,0.49-0.74,25-27,2.59-4.94,4-5,4,>0.78095,1,6-11
Not Delinquent,Yes,0.881435942,36,1.034862583,5,127.4093695,>0,0.051177527,2,30,1,0.74-1.11,34-36,0-2.59,4-5,5,<0.35429,>1,23+
Delinquent,No,0.358240172,37,2.909979863,2,57.35545385,0,5.438217893,8,27,1,0.31-0.49,37-38,2.59-4.94,2,2,>0.78095,>1,23+
Delinquent,No,17.82550535,21,4.778782506,2,97.20213308,>0,0.29551863,9,26,1,14.26+,18-24,2.59-4.94,2,2,<0.35429,>1,23+
Not Delinquent,Yes,22.24939231,31,5.325462206,5,54.58744336,>0,0.45805978,0,4,1,14.26+,30-31,4.94+,4-5,5,0.37779-0.78095,0,1-5
Delinquent,No,1.081709143,31,3.110809884,3,13.06634444,0,6.68642024,7,3,1,0.74-1.11,30-31,2.59-4.94,3,3,>0.78095,>1,1-5
Delinquent,No,0.047656053,29,3.38406872,3,154.4152743,0,0.302786342,0,30,1,0-0.15,28-29,2.59-4.94,3,3,<0.35429,0,23+
Delinquent,No,0.922076965,30,14.03456514,7,1.953999938,>0,0.177203719,4,30,1,0.74-1.11,30-31,4.94+,6+,7,<0.35429,>1,23+
Delinquent,No,8.400935321,26,2.345079006,1,22.8045892,0,7.113969945,6,4,1,5.57-14.26,25-27,0-2.59,1,1,>0.78095,>1,1-5
Not Delinquent,Yes,1.154434523,26,2.940776161,2,73.27369418,>0,5.394553738,8,14,1,1.11-1.73,25-27,2.59-4.94,2,2,>0.78095,>1,12-17
Not Delinquent,Yes,12.02064993,19,0.114901909,2,6.546508586,>0,0.707900994,8,19,1,5.57-14.26,18-24,0-2.59,2,2,0.37779-0.78095,>1,18-22
Delinquent,No,12.61220981,31,4.741731131,4,28.50792571,0,3.038719956,8,31,1,5.57-14.26,30-31,2.59-4.94,4-5,4,>0.78095,>1,23+
Delinquent,No,0.058558451,30,3.319274393,1,106.2922508,0,0.356911846,2,3,1,0-0.15,30-31,2.59-4.94,1,1,0.35429-0.37779,>1,1-5
Not Delinquent,Yes,0.117904143,28,5.724654277,5,75.0083209,>0,0.37472412,3,3,1,0-0.15,28-29,4.94+,4-5,5,0.35429-0.37779,>1,1-5
Delinquent,No,0.472964206,31,1.886683619,3,63.78900266,0,0.366925383,1,2,1,0.31-0.49,30-31,0-2.59,3,3,0.35429-0.37779,1,1-5
Not Delinquent,Yes,3.555989477,37,3.671669222,2,76.18760005,>0,9.171591987,7,7,1,2.9-5.57,37-38,2.59-4.94,2,2,>0.78095,>1,6-11
Delinquent,No,0.110176738,40,3.778797412,3,152.0683248,0,5.449124164,0,4,1,0-0.15,39-42,2.59-4.94,3,3,>0.78095,0,1-5
Delinquent,No,6.850756926,43,2.424110664,5,29.87556368,>0,0.441016699,2,15,1,5.57-14.26,43+,0-2.59,4-5,5,0.37779-0.78095,>1,12-17
Not Delinquent,Yes,0.234425553,51,9.796513311,2,73.5649577,>0,9.157150434,0,3,1,0.15-0.31,43+,4.94+,2,2,>0.78095,0,1-5
