S_NUM,account_type,age,customer_relation_time_months,avg_time_cr_tx_60_days,total_cr_amt_30_days,num_unq_rx_90_days,ratio_cr_30to90_days,education,income,num_cards,Target_IBAN_Dig_acc,fraud_flag
27,individual,25,1,6,12260,1,0.933202067,Graduate,10596,1,Y,1
28,individual,39,7,0,2114,11,0.96362267,High School,2688,1,Y,1
29,individual,30,12,2,345878,4,0.982962831,High School,4167,1,Y,1
30,individual,23,26,0,54268,3,0.289989078,High School,1710,1,Y,1
31,individual,36,8,0,24196,0,0.926423497,High School,9704,1,Y,1
32,companies,16,90,2,18191,1,0.946399985,High School,77122,1,Y,1
33,individual,27,54,20,85469,0,0.52195368,High School,6032,1,Y,1
34,individual,32,2,3,73118,1,0.796184061,High School,389,1,Y,1
35,companies,22,5,5,31872,4,0.435171144,Post Graduate,4805,1,Y,1
36,individual,28,127,33,41015,11,0.953069938,High School,1889,1,Y,1
37,individual,32,117,0,44366,1,0.455189741,Graduate,20747,1,Y,1
38,companies,31,5,73,98223,3,0.882289625,High School,5979,1,Y,1
39,companies,73,12,44,35572,6,0.937055062,High School,9140,1,Y,1
40,individual,22,23,73,66860,4,0.66702981,High School,92863,1,Y,1
41,companies,38,11,0,10223,2,0.981156209,Graduate,9809,1,Y,1
42,individual,16,0,26,38188,1,0.912064226,Post Graduate,37619,1,Y,1
43,companies,50,62,0,37754,3,0.991719153,Graduate,8473,1,Y,1
44,individual,34,9,73,54437,2,0.903694674,Graduate,12876,1,Y,1
45,companies,32,15,3,240066,1,0.151057462,High School,3046,1,Y,1
46,companies,20,12,2,1104,5,0.920133525,High School,22603,1,Y,1
47,individual,38,2,1,266475,10,0.946143675,High School,2164,1,Y,1
48,individual,51,12,0,34537,1,0.964475547,Post Graduate,4941,2,Y,1
49,govt,29,12,1,5346,0,0.930805963,Post Graduate,19767,3,Y,1
50,individual,41,7,6,223603,6,0.943499572,High School,956,1,Y,1
51,companies,22,10,0,142808,4,0.828496615,Graduate,17691,1,Y,1
52,individual,38,14,7,3093,2,0.964886087,Graduate,10813,1,Y,1
53,companies,24,10,36,48451,5,0.301211959,High School,5093,1,Y,1
54,individual,42,22,0,10629,2,0.278091966,Graduate,35059,1,Y,1
55,companies,40,33,42,76284,3,0.906187756,Post Graduate,24769,1,Y,1
56,individual,32,11,3,43858,3,0.986108826,High School,7241,1,Y,1
57,individual,24,39,0,29324,5,0.973740212,Graduate,23212,1,Y,1
58,individual,32,2,30,81040,6,0.900766246,High School,6981,1,Y,1
59,companies,42,3,0,135345,3,0.920630017,High School,1964,1,Y,1
60,companies,41,24,0,116873,3,0.675801546,Post Graduate,17346,1,Y,1
61,individual,20,3,1,61620,6,0.957343018,Graduate,5766,1,Y,1
62,companies,17,0,0,23902,3,0.957068372,Graduate,6607,1,Y,1
63,companies,42,5,73,19296,1,0.947377372,High School,684,1,Y,1
64,companies,20,10,73,186282,0,0.966681842,Graduate,1576,1,Y,1
65,individual,33,6,38,32796,5,0.912008511,Graduate,3904,1,Y,1
66,individual,19,210,0,25224,2,0.295708596,Graduate,1170,1,Y,1
67,individual,58,8,1,661,1,0.918850865,Graduate,2784,1,Y,1
68,govt,43,7,0,119006,6,0.952790792,High School,9092,1,Y,1
69,individual,27,12,0,18044,1,0.971185665,High School,67952,1,Y,1
70,govt,29,189,4,83884,7,0.357597721,High School,6096,1,Y,1
71,individual,39,140,0,174048,1,0.961246515,Post Graduate,38836,1,Y,1
72,individual,16,12,0,88773,0,0.928995891,Post Graduate,8912,2,Y,1
73,individual,47,35,3,81331,2,0.409660332,High School,3271,1,Y,1
74,companies,38,11,1,16932,4,0.92223809,High School,5797,1,Y,1
75,companies,26,0,0,3247,2,0.071679418,High School,7003,1,Y,1
76,individual,27,6,73,402244,3,0.908727657,High School,13243,1,Y,1
77,individual,21,12,0,36005,4,0.260371942,Graduate,19166,1,Y,1
78,govt,22,175,17,192721,11,0.740247106,Graduate,66416,1,Y,1
79,individual,15,18,2,32374,0,0.97456894,High School,39977,1,Y,1
80,companies,23,10,3,295,2,0.438708583,High School,3918,1,Y,1
81,individual,38,203,22,90767,12,0.950845385,High School,7451,1,Y,1
82,individual,23,186,0,15157,1,0.916394329,High School,1725,1,Y,1
83,individual,29,17,3,39516,12,0.905531936,High School,9963,1,N,1
84,companies,32,10,9,73712,6,0.557382652,High School,1804,1,N,1
85,individual,32,102,0,33720,3,0.514067974,High School,52323,1,N,1
86,individual,49,0,2,4327,3,0.923806494,Post Graduate,25036,1,N,1
87,companies,27,8,0,193701,5,0.904988035,High School,10424,1,N,1
88,companies,21,7,0,36807,3,0.066134094,High School,11069,1,N,1
89,companies,31,6,1,38500,2,0.373084098,High School,3475,1,N,1
90,individual,30,2,12,13154,4,0.90235755,High School,2830,1,N,1
91,companies,33,10,0,105370,2,0.811554994,High School,9866,1,N,1
92,individual,24,3,0,18893,1,0.957702617,High School,603,1,N,1
93,individual,26,42,0,42387,2,0.973488752,Graduate,15009,1,N,1
94,individual,37,1,1,21158,2,0.928023561,High School,9710,1,N,1
95,individual,25,52,0,19525,1,0.948807373,Graduate,26049,1,N,1
96,individual,49,55,0,79206,5,0.025069322,High School,10483,1,N,1
97,individual,27,46,0,21303,2,0.828742371,High School,1561,1,N,1
98,individual,32,12,21,42152,11,0.932794245,Graduate,8561,1,N,1
99,companies,38,33,73,5029,9,0.187679652,Graduate,2177,1,N,1
100,individual,31,9,0,28588,5,0.927885939,Graduate,24059,1,N,1
101,companies,24,4,0,746973,7,0.90500668,Graduate,10943,1,N,1
102,companies,36,12,73,18681,1,0.615779862,Graduate,98515,1,N,1
103,individual,15,26,73,42144,8,0.940878874,Graduate,5871,1,N,1
104,govt,38,223,14,213064,3,0.55019441,Post Graduate,44582,1,N,1
105,companies,41,5,0,37731,6,0.361269689,Graduate,17913,1,N,1
106,companies,28,27,0,67157,1,0.99966724,Post Graduate,82729,1,N,1
107,companies,27,14,1,144970,3,0.91163676,Graduate,4617,1,N,1
108,individual,31,6,13,125814,3,0.966189817,High School,7852,1,N,1
109,companies,23,10,26,22505,2,0.671905846,Graduate,16914,2,N,1
110,individual,38,22,2,30028,0,0.685960182,High School,5574,1,N,1
111,companies,33,110,0,374014,12,0.961942645,High School,974,1,N,1
112,individual,63,47,3,26206,8,0.404386345,Post Graduate,23737,1,N,1
113,individual,61,4,1,44174,4,0.772114348,High School,5433,1,N,1
114,individual,27,213,6,93224,4,0.319906749,High School,5489,1,N,1
115,individual,22,18,0,894157,3,0.994934741,High School,5038,1,N,1
116,govt,43,7,0,23096,13,0.940729446,High School,2788,1,N,1
117,individual,42,2,0,8830,3,0.340819358,High School,6941,1,N,1
118,individual,17,1,0,33055,0,0.990837103,Post Graduate,20480,1,N,1
119,individual,41,195,35,1778,0,0.484120442,Post Graduate,18685,1,N,0
120,govt,49,56,27,41643,2,0.2699713,Graduate,16879,1,Y,0
121,individual,16,35,41,13067,0,0.400577185,High School,3130,1,N,0
122,govt,30,236,36,39299,1,0.219342429,High School,19634,1,Y,0
123,govt,37,13,16,30183,1,0.398095227,Post Graduate,6697,1,N,0
124,companies,69,18,73,10247,3,0.436985118,Graduate,23904,1,N,0
125,individual,47,30,73,36979,1,0.558279833,Graduate,183,1,N,0
126,govt,74,133,73,43233,0,0.294563523,Post Graduate,13745,1,N,0
127,companies,60,212,0,37955,2,0.299455492,Graduate,26721,1,Y,0
128,govt,50,222,32,31645,0,0.282131706,Graduate,2308,1,Y,0
129,individual,61,79,15,48992,0,0.175395002,Graduate,7760,1,N,0
130,companies,39,205,73,46736,1,0.151250208,High School,26882,1,N,0
131,individual,61,140,50,1938,0,0.060158759,Graduate,18411,1,Y,0
132,govt,33,120,73,13496,1,0.293026528,Graduate,17784,1,N,0
133,govt,27,135,33,16493,0,0.490501198,Graduate,7291,1,N,0
134,companies,43,56,73,35675,1,0.404648789,Graduate,15778,1,N,0
135,individual,27,27,73,12702,0,0.220359321,High School,86736,1,N,0
136,govt,42,64,38,25510,2,0.2059897,High School,28710,3,Y,0
137,individual,19,228,25,44211,1,0.440613544,Graduate,33603,1,Y,0
138,individual,36,118,11,49969,1,0.224295514,Graduate,66321,1,Y,0
139,individual,17,68,11,38083,3,0.351146461,High School,2124,3,N,0
140,companies,26,199,11,22913,1,0.419283203,Graduate,18251,1,Y,0
141,individual,31,16,18,32760,2,0.254371209,Graduate,44632,1,N,0
142,individual,26,137,16,23510,0,0.211924781,Graduate,15489,2,Y,0
143,govt,28,122,38,33688,0,0.381795758,Graduate,50218,1,N,0
144,govt,54,5,73,41081,2,0.463353677,Graduate,1087,3,Y,0
145,individual,33,232,73,34827,1,0.303304104,Graduate,37809,1,N,0
146,individual,34,201,28,41297,1,0.443553623,Graduate,26201,1,N,0
147,govt,18,133,67,34221,0,0.300574598,Graduate,46271,1,N,0
148,companies,22,225,22,32556,1,0.422974028,High School,3190,1,N,0
149,individual,48,229,5,38164,0,0.248175608,Graduate,8073,1,N,0
150,companies,45,182,73,32838,0,0.391326764,Graduate,12354,1,Y,0
151,individual,41,36,73,34996,0,0.215579834,Post Graduate,15978,1,Y,0
152,govt,28,218,51,23644,3,0.245683225,Graduate,34190,1,N,0
153,individual,21,139,13,28449,0,0.315883191,Graduate,6504,1,N,0
154,companies,29,15,73,48440,3,0.560658219,Graduate,13146,1,N,0
155,companies,36,0,73,133644,0,0.349858292,Post Graduate,3304,1,N,0
156,individual,34,184,73,41277,3,0.257467172,Graduate,9917,1,N,0
157,companies,29,65,73,49287,1,0.317190306,Graduate,22041,1,N,0
158,govt,35,226,73,32759,0,0.628470796,Graduate,18347,1,N,0
159,individual,60,93,1,13559,1,0.255072684,Post Graduate,529,1,N,0
160,companies,52,53,73,25311,3,0.314384669,Graduate,38687,1,N,0
161,companies,56,19,22,8476,1,0.52933602,Post Graduate,1110,1,Y,0
162,govt,34,174,73,36273,0,0.563285044,High School,43615,2,N,0
163,companies,19,53,28,47702,1,0.435975745,High School,986,1,N,0
164,companies,34,238,73,6980,2,0.286191657,High School,15325,1,Y,0
165,govt,40,5,41,40073,1,0.235796088,Graduate,8654,1,N,0
166,govt,31,71,73,22424,1,0.967700079,Graduate,963,1,N,0
167,companies,27,45,18,24801,1,0.412602749,Graduate,1298,1,N,0
168,companies,23,94,45,28693,1,0.285932661,Post Graduate,7009,1,N,0
169,govt,33,120,73,6356,0,0.016737036,Graduate,36627,1,N,0
170,individual,18,204,7,41934,0,0.00251668,High School,12566,1,Y,0
171,companies,21,51,25,20758,2,0.388573291,Graduate,38736,1,Y,0
172,govt,42,27,11,20155,1,0.934358634,Graduate,7350,1,N,0
173,govt,25,160,0,39728,1,0.537568537,High School,36839,1,N,0
174,individual,32,36,73,4434,0,0.142432422,High School,10000,1,Y,0
175,individual,32,222,0,29234,0,0.189648636,Graduate,71146,2,N,0
176,individual,27,64,36,23061,0,0.339091057,Graduate,7709,1,Y,0
177,govt,48,85,73,33979,0,0.240092132,Graduate,7489,1,N,0
178,companies,68,172,73,31764,1,0.060784059,Graduate,3579,1,Y,0
179,companies,51,144,73,21922,0,0.298267333,Graduate,39257,1,Y,0
180,individual,48,111,24,22408,1,0.320305726,Graduate,13642,1,N,0
181,individual,18,200,34,97855,0,0.23904742,High School,3035,1,N,0
182,individual,51,32,0,8346,1,0.347771319,High School,4155,1,Y,0
183,companies,47,17,36,33349,0,0.965234908,Graduate,36156,1,N,0
184,individual,29,210,24,15237,0,0.516458816,Graduate,7300,1,N,0
185,govt,29,115,68,43397,2,0.434824567,High School,75219,3,N,0
186,individual,29,15,8,22433,0,0.456971529,Post Graduate,16863,1,Y,0
187,companies,60,29,34,44559,2,0.962814103,Graduate,6153,1,N,0
188,individual,34,201,48,26167,4,0.31143475,Graduate,16355,1,N,0
189,individual,40,25,38,8991,0,0.569763697,Graduate,4484,1,Y,0
190,companies,38,47,11,35448,2,0.160413479,Post Graduate,9820,1,Y,0
191,companies,69,233,17,47556,0,0.741777486,Graduate,8084,1,Y,0
192,govt,26,42,73,36578,0,0.320796103,Post Graduate,6327,1,Y,0
193,govt,43,64,33,7616,3,0.497405536,High School,30489,1,N,0
194,companies,49,216,73,48359,0,0.380216536,Graduate,2314,1,N,0
195,govt,22,30,73,36722,3,0.391491661,Graduate,26098,1,N,0
196,govt,51,45,73,27430,0,0.360017755,High School,35869,1,N,0
197,companies,26,87,73,42641,0,0.486387571,High School,734,1,N,0
198,companies,26,120,73,36341,0,0.612606014,High School,46638,2,Y,0
199,individual,37,224,2,36918,0,0.344977804,Graduate,4073,1,Y,0
200,govt,65,232,21,19647,2,0.282304502,Graduate,13844,1,N,0
201,individual,29,17,29,35028,0,0.25101631,Post Graduate,8369,1,N,0
202,companies,43,59,73,38403,1,0.316915124,Graduate,18685,1,N,0
203,companies,36,29,4,11044,0,0.344290207,Graduate,9847,1,N,0
204,companies,39,23,73,5692,6,0.092269924,High School,8858,1,N,0
205,individual,25,169,15,30906,0,0.535271712,Graduate,5312,1,N,0
206,govt,60,47,61,34812,0,0.567227853,Graduate,41022,2,N,0
207,companies,43,41,0,35190,0,0.275570159,Graduate,38766,1,Y,0
208,companies,41,126,60,207194,1,0.238540415,Graduate,23727,1,N,0
209,govt,54,171,73,40439,0,0.391757759,Graduate,38745,1,N,0
210,companies,24,190,54,49927,3,0.545426189,Graduate,47084,2,Y,0
211,companies,54,218,44,8230,0,0.218676259,Graduate,1329,1,Y,0
212,companies,46,187,73,26182,0,0.014555431,Graduate,6937,1,N,0
213,govt,66,171,73,11269,1,0.398429337,Graduate,5420,1,N,0
214,individual,43,212,73,18760,0,0.272023887,High School,47429,2,N,0
215,govt,41,53,21,40687,1,0.575362582,High School,34498,1,N,0
216,individual,62,36,73,39829,1,0.315573964,Graduate,29512,1,N,0
217,companies,36,81,40,23246,5,0.232449359,Graduate,29373,1,N,0
218,individual,38,22,73,11508,0,0.882917548,Graduate,2518,1,N,0
219,individual,22,26,73,24478,2,0.333768991,Post Graduate,10198,1,N,0
220,individual,27,33,44,33854,2,0.309216776,Post Graduate,12812,1,Y,0
221,individual,23,112,44,32386,1,0.964493048,High School,34269,1,N,0
222,govt,16,113,41,44463,4,0.277912462,Graduate,29263,1,N,0
223,companies,39,75,25,38945,2,0.35304374,Graduate,2551,1,N,0
224,companies,40,199,73,11044,3,0.296425911,Graduate,4480,1,N,0
225,govt,40,69,19,47855,0,0.216721999,Graduate,32099,1,N,0
226,individual,35,79,73,26297,5,0.75732105,Graduate,48402,2,N,0
227,individual,42,137,73,12597,1,0.279870704,Graduate,1537,1,N,0
228,govt,44,227,73,40034,2,0.826472987,Graduate,14479,1,N,0
229,individual,33,201,73,610,1,0.354148522,Graduate,22583,1,N,0
230,individual,22,46,37,47749,3,0.141962913,Graduate,8867,1,N,0
231,govt,48,126,48,27270,1,0.231094505,Post Graduate,3262,1,N,0
232,individual,62,115,30,15029,4,0.291757549,High School,43149,1,N,0
233,companies,16,204,73,38075,3,0.478467869,Graduate,7001,1,Y,0
234,govt,64,27,73,5660,1,0.666565018,Graduate,20895,1,N,0
235,individual,22,30,73,4765,0,0.268126008,Graduate,1867,1,Y,0
236,companies,34,54,73,42517,3,0.169317425,High School,3044,1,N,0
237,govt,38,58,25,72960,0,0.10132228,Graduate,8151,1,N,0
238,companies,43,34,14,33315,1,0.381304146,Graduate,26586,1,N,0
239,govt,44,67,10,7457,0,0.434524251,High School,9259,1,N,0
240,govt,42,91,39,41869,0,0.348598519,Graduate,36915,1,N,0
241,individual,54,29,33,13297,2,0.34368744,Post Graduate,10326,1,Y,0
242,companies,49,23,21,48390,1,0.424204515,Post Graduate,7460,1,N,0
243,individual,23,171,19,49430,1,0.222583228,Graduate,18641,1,N,0
244,companies,33,204,24,32267,1,0.272330326,Graduate,5666,1,N,0
245,govt,35,46,47,32587,0,0.209394933,Graduate,6865,1,N,0
246,individual,31,104,73,10284,2,0.317633562,High School,40566,2,N,0
247,companies,30,228,9,8904,0,0.449283459,Graduate,2929,1,N,0
248,govt,36,2,73,37738,2,0.32137318,Graduate,16858,1,Y,0
249,individual,51,23,25,296,1,0.228764115,Graduate,7776,1,N,0
250,companies,37,22,19,45192,1,0.576265198,High School,1570,1,N,0
251,individual,20,126,0,7141,2,0.426150901,High School,19837,1,Y,0
252,individual,48,235,20,350910,2,0.462300555,High School,34129,1,N,0
253,individual,40,37,51,34492,1,0.451219195,Graduate,45105,2,N,0
254,govt,38,14,22,12140,0,0.273971666,Graduate,3526,1,Y,0
255,govt,28,108,12,80679,0,0.203188019,Graduate,24119,1,N,0
256,companies,33,72,30,45994,3,0.346169387,Post Graduate,4857,1,Y,0
257,individual,20,37,0,25466,0,0.350844511,High School,42590,1,Y,0
258,companies,38,10,69,30782,1,0.312773454,Graduate,1250,1,Y,0
259,govt,45,101,24,23404,3,0.241135827,Graduate,34670,1,N,0
260,companies,27,139,32,8085,0,0.255929721,Graduate,21750,1,N,0
261,companies,60,35,73,31636,1,0.259825281,Graduate,4740,1,Y,0
262,individual,72,178,73,30579,0,0.646610331,Graduate,34523,1,N,0
263,individual,41,25,7,88233,0,0.433213777,Graduate,22087,1,N,0
264,govt,31,125,44,34171,0,0.317737835,Graduate,14370,1,Y,0
265,individual,34,170,73,231,1,0.519883032,Graduate,804,1,N,0
266,govt,31,205,24,37098,1,0.674025812,Graduate,1865,1,N,0
267,govt,55,175,19,26714,6,0.203224324,High School,17350,1,N,0
268,govt,47,228,73,40137,0,0.059719948,Post Graduate,13734,1,Y,0
269,govt,15,126,29,12325,0,0.5026649,High School,16999,1,N,0
270,govt,26,24,73,12445,0,0.327372559,Post Graduate,7636,1,Y,0
271,individual,31,196,50,20172,1,0.93195228,Graduate,34929,1,N,0
272,companies,41,28,17,11492,0,0.124681454,Graduate,19169,1,Y,0
273,individual,23,14,2,22073,2,0.29529259,Graduate,25126,1,N,0
274,individual,46,10,73,20574,0,0.353248127,Graduate,17434,1,N,0
275,individual,30,151,18,33624,0,0.594356281,High School,4859,1,Y,0
276,govt,29,213,20,4187,0,0.545505056,Graduate,15450,1,N,0
277,individual,54,220,43,11099,1,0.371750188,Graduate,6685,1,N,0
278,govt,62,160,73,8160,4,0.260006632,Graduate,4065,1,Y,0
279,individual,56,35,73,2401,2,0.548187955,Post Graduate,9631,1,N,0
280,individual,35,179,64,47894,0,0.032773279,High School,24881,1,N,0
281,govt,27,158,14,14766,0,0.248889103,Graduate,1545,1,N,0
282,govt,19,48,36,33386,0,0.323435139,Graduate,4214,1,N,0
283,individual,16,165,40,47797,1,0.493209321,Graduate,482,1,N,0
284,govt,22,177,38,21196,1,0.531004975,High School,85721,2,N,0
285,govt,23,6,25,19840,0,0.465401263,High School,40149,1,N,0
286,individual,47,206,63,7939,0,0.960088444,Graduate,39735,1,N,0
287,individual,27,182,13,42480,0,0.158423366,Graduate,779,1,N,0
288,companies,37,173,73,48322,0,0.210889596,Graduate,894,1,N,0
289,individual,24,183,50,5996,1,0.260823385,Graduate,46180,2,N,0
290,companies,73,111,73,71890,1,0.465040164,Graduate,25733,1,N,0
291,individual,38,68,73,33995,3,0.403997036,Graduate,20596,1,N,0
292,companies,31,228,70,46161,1,0.209166643,Graduate,1139,1,N,0
293,companies,27,179,35,32069,0,0.255719356,Graduate,1847,1,N,0
294,individual,34,36,73,14306,2,0.546203787,Graduate,7572,1,N,0
295,govt,30,15,16,14077,4,0.509815017,High School,42594,2,Y,0
296,govt,23,227,73,41064,1,0.970479312,Graduate,7950,1,N,0
297,individual,34,170,49,45455,1,0.30975438,Graduate,12080,1,N,0
298,individual,34,16,73,17578,0,0.211096731,Graduate,38351,1,N,0
299,companies,36,168,73,44074,0,0.36155013,Post Graduate,6251,1,N,0
300,govt,18,236,73,147874,4,0.368560892,Graduate,19127,1,Y,0
301,govt,54,177,4,12830,0,0.510911584,Post Graduate,9521,1,Y,0
302,individual,37,7,73,49266,1,0.422689785,Graduate,14496,1,Y,0
303,individual,28,51,73,46919,1,0.277190515,Graduate,36591,1,Y,0
304,companies,35,153,32,37277,0,0.483607783,Graduate,2620,1,N,0
305,companies,33,225,51,11514,1,0.21342811,High School,24297,1,N,0
306,companies,39,209,73,48485,0,0.543862358,Graduate,2264,1,Y,0
307,govt,55,196,45,125527,0,0.285848982,Graduate,2230,1,Y,0
308,individual,29,25,73,40545,0,0.372414407,Graduate,39249,1,N,0
309,individual,33,15,73,46612,2,0.333856595,Graduate,9862,1,Y,0
310,companies,28,226,73,31092,1,0.243525149,Graduate,9664,1,N,0
311,companies,30,130,51,42775,0,0.392714577,Graduate,31504,1,N,0
312,companies,49,33,37,6421,1,0.218389784,Graduate,8387,1,Y,0
313,govt,43,9,73,18050,1,0.324477834,Graduate,3765,1,Y,0
314,individual,25,225,50,24739,1,0.437571041,Graduate,5290,1,N,0
315,companies,17,166,73,30754,1,0.956972027,Graduate,3677,1,Y,0
316,companies,25,16,33,28050,3,0.401061973,Graduate,7331,1,N,0
317,individual,29,157,27,38837,1,0.273606371,Graduate,19134,1,Y,0
318,govt,19,177,73,17420,3,0.59592199,Graduate,49258,1,N,0
319,individual,33,55,0,41277,1,0.596245856,Graduate,4244,1,Y,0
320,individual,41,228,73,52269,0,0.45877764,Post Graduate,7552,1,Y,0
321,companies,39,59,73,27215,0,0.337620874,Graduate,45211,1,Y,0
322,individual,37,52,73,43728,0,0.335840381,Graduate,2298,2,N,0
323,govt,27,32,73,25382,5,0.127982913,Graduate,32247,1,N,0
324,individual,17,58,36,63737,0,0.430624037,Graduate,1020,1,N,0
325,companies,42,168,73,28216,1,0.407818308,Graduate,31902,1,Y,0
326,govt,16,58,73,30431,2,0.278271797,Graduate,2676,1,N,0
327,individual,44,193,48,13788,1,0.375011922,Graduate,5944,1,N,0
328,govt,52,191,36,22528,0,0.34872321,Graduate,39744,1,N,0
329,individual,23,120,69,4682,0,0.267292748,Graduate,27353,1,Y,0
330,individual,35,14,9,2463,1,0.415980293,Graduate,72945,1,N,0
331,individual,32,38,46,99,1,0.346463156,Graduate,11335,3,N,0
332,govt,35,131,73,41982,2,0.254893884,Graduate,38603,1,Y,0
333,govt,25,129,73,1718,1,0.234830389,Graduate,25522,1,Y,0
334,individual,30,31,1,39234,0,0.327096819,Graduate,29825,1,N,0
335,individual,57,192,25,19971,0,0.118698909,High School,34426,1,Y,0
336,companies,52,1,23,26597,3,0.478035354,Graduate,6936,1,N,0
337,companies,50,29,52,36215,1,0.997239242,Graduate,30566,1,Y,0
338,govt,51,114,40,11123,1,0.235880384,Graduate,16923,1,Y,0
339,govt,40,66,73,42814,0,0.303645023,Graduate,30472,1,N,0
340,govt,30,2,33,81179,2,0.295076919,Graduate,850,1,N,0
341,individual,18,72,10,16035,0,0.127515798,Graduate,44515,1,N,0
342,companies,43,21,47,31431,2,0.389793352,Graduate,9308,2,N,0
343,govt,25,59,27,4575,1,0.216344499,Graduate,34338,1,N,0
344,individual,37,43,14,45287,2,0.76288918,Graduate,20460,1,N,0
345,govt,50,186,59,41505,1,0.60451844,Graduate,5209,1,N,0
346,companies,34,57,73,5061,1,0.322648784,Graduate,16732,1,N,0
347,govt,31,148,29,14366,0,0.249184375,Graduate,4324,1,N,0
348,individual,47,160,73,31814,0,0.447092345,Graduate,2448,1,Y,0
349,govt,41,120,10,47871,0,0.385017471,Graduate,16788,1,N,0
350,individual,37,234,30,45116,0,0.342714178,Graduate,20635,1,N,0
351,individual,18,45,73,19362,2,0.346074834,Graduate,6898,1,Y,0
352,individual,30,200,29,32116,4,0.534514006,High School,17301,1,Y,0
353,individual,32,147,19,3176,1,0.364294732,Graduate,4981,1,N,0
354,companies,31,227,73,437,1,0.373117505,Graduate,6527,1,Y,0
355,individual,45,169,56,49936,0,0.228826915,Graduate,23718,1,N,0
356,companies,39,156,20,3966,1,0.663787077,Graduate,40012,1,N,0
357,companies,43,21,73,46386,0,0.39680938,High School,37020,1,Y,0
358,companies,33,8,11,35018,4,0.3573097,Graduate,6672,1,N,0
359,individual,51,137,73,26393,0,0.650901162,Post Graduate,3200,1,Y,0
360,companies,27,110,18,17563,1,0.30059544,High School,19831,1,N,0
361,individual,31,86,73,46534,0,0.377267392,Graduate,2357,1,N,0
362,individual,43,108,73,10158,1,0.007499907,Graduate,3132,1,N,0
363,companies,34,206,51,43351,1,0.397332761,Graduate,24988,1,N,0
364,companies,21,105,49,32828,0,0.390976597,High School,6958,1,N,0
365,individual,37,110,73,32442,2,0.168080127,Graduate,6153,1,N,0
366,govt,28,116,73,31835,1,0.371844283,Graduate,11612,1,N,0
367,individual,34,52,73,19263,1,0.218827201,Graduate,33174,1,N,0
368,govt,23,56,73,22479,0,0.145368118,Post Graduate,2451,1,N,0
369,govt,29,192,20,28505,0,0.364828403,Graduate,45011,2,N,0
370,govt,25,19,29,12459,2,0.355924253,High School,28045,1,Y,0
371,companies,39,36,48,20065,0,0.44567314,Graduate,7305,1,N,0
372,companies,36,30,30,12336,1,0.23134879,Graduate,22635,1,Y,0
373,companies,30,138,64,1836,0,0.481872144,Graduate,6398,1,N,0
374,govt,36,204,65,43687,0,0.386242237,Graduate,65828,2,N,0
375,companies,33,52,73,40342,2,0.40894184,Graduate,8068,1,N,0
376,companies,56,193,73,14275,0,0.168057429,Post Graduate,5506,1,N,0
377,companies,45,203,0,46799,3,0.578850388,Graduate,12476,1,Y,0
378,govt,48,120,73,49741,1,0.32450241,Graduate,28434,1,N,0
379,govt,29,225,73,17954,2,0.343091459,High School,40800,2,N,0
380,companies,44,125,73,35322,1,0.264418504,Graduate,2583,1,Y,0
381,govt,44,206,18,3634,2,0.921746177,Graduate,3754,1,N,0
382,govt,52,18,56,23720,1,0.443683091,Graduate,15475,1,Y,0
