id,tgt_1,int_rate,num_tl_90g_dpd_24m,emp_length,dti,home_ownership,loan_amnt,LOR,FICO_Change,annual_inc,Occupation_group,product_group,loc_group,Occupation,product,location
65617587,0,13.18,0,8 years,30.5,RENT,9600,226,-5,31512,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ47,Prod3,loc445
65621612,0,5.32,0,5 years,24.98,RENT,15000,161,-25,140000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ11,Prod3,loc265
65622227,0,6.89,0,10+ years,29.6,MORTGAGE,18000,243,-65,72500,low_tgt_occ,med_tg_prd,low_tgt_loc,Occ22,Prod4,loc456
65622575,0,9.17,0,5 years,4.7,MORTGAGE,9600,194,-25,75000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ7,Prod3,loc48
65626302,0,10.64,0,2 years,13.94,MORTGAGE,24000,332,-10,73000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ7,Prod3,loc44
65626456,0,11.22,0,< 1 year,15.04,RENT,14000,565,-5,80000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ5,Prod3,loc717
65627038,0,7.26,0,< 1 year,34.49,RENT,12000,210,-60,31000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ47,Prod2,loc448
65627069,0,7.89,0,4 years,23.46,MORTGAGE,24000,230,65,86000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ42,Prod3,loc613
65627363,0,19.99,0,10+ years,29.47,MORTGAGE,25925,224,95,72000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ5,Prod3,loc771
65631644,0,7.26,0,2 years,27.95,RENT,10000,100,60,37780,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ44,Prod2,loc191
65632407,0,11.99,0,10+ years,18.94,RENT,13500,250,-10,37000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ18,Prod3,loc2
65633829,0,9.17,0,10+ years,14.82,OWN,20000,275,-10,60000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ25,Prod2,loc486
65636328,0,6.24,0,6 years,13.76,MORTGAGE,14400,268,0,200000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ41,Prod2,loc321
65636547,0,20.99,0,10+ years,24.83,RENT,31200,128,45,65000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ41,Prod3,loc321
65637595,0,7.89,0,1 year,16.3,MORTGAGE,7000,331,-60,30000,low_tgt_occ,med_tg_prd,low_tgt_loc,Occ32,Prod4,loc336
65641549,0,12.59,0,3 years,23.86,RENT,20000,69,-20,60000,low_tgt_occ,high_tgt_prd,low_tgt_loc,Occ33,Prod9,loc83
65641606,0,15.41,0,2 years,26.74,RENT,12000,64,-10,56600,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ3,Prod3,loc592
65642833,0,11.99,0,6 years,6.21,RENT,6000,128,15,70000,low_tgt_occ,high_tgt_prd,low_tgt_loc,Occ23,Prod9,loc540
65644034,0,12.59,0,10+ years,20.96,OWN,20000,357,-160,65000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ5,Prod2,loc754
65644795,0,18.49,0,7 years,17.33,RENT,28000,128,-35,120000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ33,Prod3,loc87
65645253,0,11.22,0,4 years,11.45,RENT,12000,170,65,72000,medium_tgt_occ,med_tg_prd,med_tgt_loc,Occ30,Prod7,loc54
65645528,0,6.89,0,1 year,12.57,MORTGAGE,16000,180,10,56000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ15,Prod3,loc356
65645592,0,11.99,0,3 years,16.77,MORTGAGE,15000,164,80,40000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ3,Prod2,loc597
65645602,0,7.89,0,< 1 year,24.76,OWN,8700,106,-65,50000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ5,Prod3,loc748
65645968,0,9.17,0,2 years,6.62,MORTGAGE,12000,211,115,27000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ35,Prod3,loc600
65646023,0,9.76,0,8 years,13.33,RENT,35000,404,60,180000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ33,Prod2,loc75
65646529,0,7.26,0,9 years,21.85,OWN,15000,149,-95,55000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ5,Prod2,loc718
65651869,0,9.17,0,10+ years,12.11,RENT,7000,144,-15,87000,medium_tgt_occ,low_tgt_prd,high_tgt_loc,Occ30,Prod3,loc72
65652372,0,16.55,0,2 years,20.16,RENT,12000,136,150,40000,medium_tgt_occ,low_tgt_prd,med_tgt_loc,Occ13,Prod2,loc494
65653676,0,9.76,0,3 years,2.59,MORTGAGE,20000,214,50,300000,medium_tgt_occ,low_tgt_prd,high_tgt_loc,Occ30,Prod3,loc61
65653692,0,7.89,4,2 years,9.57,OWN,17000,293,5,250000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ14,Prod2,loc402
65654169,0,13.67,0,< 1 year,20.02,MORTGAGE,6000,146,-50,95000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ37,Prod3,loc145
65654447,0,7.26,0,9 years,18.2,MORTGAGE,15000,139,-20,90000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ48,Prod3,loc221
65654540,0,11.22,0,3 years,27.64,RENT,5000,116,80,32000,low_tgt_occ,low_tgt_prd,med_tgt_loc,Occ33,Prod3,loc90
65655004,0,13.18,0,5 years,37.25,MORTGAGE,7000,235,-50,28000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ20,Prod2,loc37
65655080,0,9.76,0,10+ years,3.77,RENT,16000,238,140,80000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ33,Prod3,loc85
65655853,0,16.99,0,6 years,17.1,MORTGAGE,9500,103,85,57200,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ22,Prod2,loc457
65656270,0,8.38,0,4 years,6.71,RENT,4000,286,-25,70000,low_tgt_occ,med_tg_prd,med_tgt_loc,Occ5,Prod12,loc738
65656628,0,19.99,0,10+ years,33.69,MORTGAGE,30000,159,80,75000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ14,Prod3,loc408
65656683,0,18.99,0,2 years,23.83,RENT,12000,156,60,75000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ6,Prod3,loc664
65657006,0,10.64,1,2 years,27.16,MORTGAGE,8000,183,-10,54000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ17,Prod3,loc573
65664553,0,12.59,0,10+ years,14.92,MORTGAGE,10000,197,15,95000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ15,Prod2,loc551
65665923,0,12.59,0,4 years,22.31,MORTGAGE,30000,164,35,145000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ44,Prod3,loc201
65666095,0,8.38,2,10+ years,22.32,RENT,12000,240,-45,60000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ19,Prod2,loc183
65666681,0,8.38,0,N/A,10.53,MORTGAGE,18000,308,-55,54573,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ13,Prod2,loc513
65667173,0,13.67,1,< 1 year,25.71,MORTGAGE,24000,199,115,80000,high_tgt_occ,med_tg_prd,low_tgt_loc,Occ21,Prod4,loc426
65672567,0,9.17,0,2 years,4.69,MORTGAGE,20000,122,-30,100000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ47,Prod2,loc446
65674372,0,13.67,0,10+ years,20.79,MORTGAGE,25200,133,5,87000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ41,Prod3,loc321
65674485,0,13.67,0,10+ years,6.37,MORTGAGE,14400,239,80,67000,medium_tgt_occ,low_tgt_prd,med_tgt_loc,Occ4,Prod3,loc693
65676617,0,13.18,0,10+ years,24.74,OWN,9000,72,85,60000,medium_tgt_occ,med_tg_prd,med_tgt_loc,Occ30,Prod4,loc54
65677575,0,8.38,0,10+ years,24.41,MORTGAGE,15000,373,-45,68000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ14,Prod2,loc409
65681817,0,6.24,0,3 years,16.53,RENT,7000,56,110,57000,medium_tgt_occ,low_tgt_prd,high_tgt_loc,Occ42,Prod3,loc635
65682151,0,10.64,0,5 years,19.53,RENT,7200,96,-20,80000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ5,Prod3,loc720
65684441,0,18.99,0,8 years,31.42,MORTGAGE,13950,123,-35,56000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ23,Prod3,loc533
65685820,0,13.18,0,10+ years,15.52,MORTGAGE,35000,276,20,150000,medium_tgt_occ,low_tgt_prd,high_tgt_loc,Occ41,Prod3,loc322
65686765,0,11.99,0,10+ years,22.51,MORTGAGE,17400,129,-20,65000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ10,Prod3,loc277
65687257,0,8.38,1,4 years,6.39,OWN,12000,171,5,113000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ18,Prod3,loc9
65687318,0,16.55,0,1 year,18.47,RENT,15000,175,-75,61200,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ12,Prod3,loc774
65687432,0,5.32,0,10+ years,14.32,MORTGAGE,10000,410,-25,120000,medium_tgt_occ,low_tgt_prd,med_tgt_loc,Occ30,Prod3,loc64
65687496,0,5.32,0,10+ years,10.89,MORTGAGE,25000,304,-30,300000,medium_tgt_occ,low_tgt_prd,high_tgt_loc,Occ42,Prod2,loc614
65687670,0,6.89,0,10+ years,8.25,RENT,20000,231,-55,120000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ36,Prod3,loc777
65687671,0,9.76,0,3 years,13.37,RENT,30000,136,60,125000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ30,Prod3,loc57
65691644,0,7.89,0,10+ years,23.26,MORTGAGE,12200,434,-30,128100,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ26,Prod2,loc239
65692968,0,5.32,0,3 years,17.53,OWN,10000,134,-45,58000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ37,Prod6,loc142
65695453,0,7.26,0,10+ years,22.4,MORTGAGE,9800,133,-30,45000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ44,Prod3,loc201
65696645,0,6.89,0,10+ years,21.52,MORTGAGE,16000,122,-5,140000,medium_tgt_occ,med_tg_prd,low_tgt_loc,Occ18,Prod4,loc1
65697147,0,16.99,0,10+ years,19.12,RENT,20000,192,170,91000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ6,Prod3,loc669
65701980,0,20.99,0,3 years,18.56,MORTGAGE,17000,118,-60,107000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ9,Prod3,loc168
65703997,0,13.18,0,8 years,17.14,MORTGAGE,10000,196,45,120000,low_tgt_occ,high_tgt_prd,low_tgt_loc,Occ2,Prod9,loc313
65704323,0,12.59,0,6 years,18.09,RENT,4800,108,5,75000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ5,Prod3,loc731
65704454,0,11.22,0,10+ years,17.16,MORTGAGE,5600,241,25,80000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ23,Prod3,loc519
65705922,0,13.18,0,3 years,19.63,RENT,24000,184,0,170000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ30,Prod2,loc57
65706254,0,11.22,0,10+ years,32.31,MORTGAGE,35000,383,120,150000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ37,Prod3,loc142
65707000,0,9.76,0,< 1 year,1.79,OWN,15000,197,170,45000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ37,Prod6,loc163
65707196,0,16.55,0,10+ years,22.75,RENT,5000,170,20,67000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ11,Prod5,loc74
65707600,0,13.18,0,6 years,31.37,OWN,35000,207,-35,80000,medium_tgt_occ,low_tgt_prd,med_tgt_loc,Occ13,Prod2,loc491
65712545,0,10.64,0,N/A,19.06,RENT,20000,290,-30,58000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ5,Prod3,loc737
65712969,0,9.17,0,10+ years,12.15,OWN,3600,199,50,39000,low_tgt_occ,high_tgt_prd,low_tgt_loc,Occ44,Prod9,loc194
65715530,0,9.76,0,9 years,9.49,RENT,15000,60,20,65000,medium_tgt_occ,low_tgt_prd,high_tgt_loc,Occ18,Prod3,loc12
65716197,0,11.99,0,< 1 year,18.8,OWN,3500,39,60,21000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ23,Prod3,loc519
65721605,0,11.22,0,< 1 year,27.39,MORTGAGE,16000,385,-40,110000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ6,Prod3,loc673
65721966,0,9.76,0,8 years,9.49,MORTGAGE,30000,302,35,189000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ5,Prod3,loc746
65722461,0,9.76,0,10+ years,37.19,RENT,5600,116,30,70000,low_tgt_occ,low_tgt_prd,high_tgt_loc,Occ5,Prod3,loc740
65723738,0,13.18,0,10+ years,27.28,RENT,16000,305,45,82000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ5,Prod2,loc717
65724247,0,10.64,0,10+ years,12.51,OWN,24000,267,-65,115000,low_tgt_occ,med_tg_prd,high_tgt_loc,Occ5,Prod4,loc740
65724676,0,10.64,0,6 years,10.61,RENT,8000,142,175,75000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ30,Prod3,loc62
65725011,0,11.22,0,3 years,12.08,MORTGAGE,18200,44,160,58000,medium_tgt_occ,low_tgt_prd,high_tgt_loc,Occ42,Prod2,loc622
65725258,0,9.76,0,10+ years,8.08,OWN,4000,206,25,80000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ11,Prod3,loc265
65725681,0,5.32,0,10+ years,0.5,MORTGAGE,19000,213,85,95000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ23,Prod2,loc528
65727014,0,6.89,0,10+ years,33.87,OWN,13200,461,65,97000,medium_tgt_occ,high_tgt_prd,low_tgt_loc,Occ42,Prod9,loc643
65727098,0,16.99,0,< 1 year,33.52,RENT,13200,162,-35,30000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ33,Prod3,loc89
65731707,0,11.22,0,8 years,4.61,MORTGAGE,3200,127,0,74000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ10,Prod3,loc279
65733038,0,7.89,0,10+ years,10.39,RENT,28000,262,-145,100000,medium_tgt_occ,low_tgt_prd,med_tgt_loc,Occ42,Prod11,loc642
65733048,0,9.17,0,10+ years,4.51,MORTGAGE,12000,127,25,100000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ6,Prod3,loc665
65734795,0,10.64,0,5 years,11.95,MORTGAGE,10000,290,85,43000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ35,Prod3,loc600
65735670,0,18.99,0,8 years,3.93,OWN,31325,202,20,113000,low_tgt_occ,med_tg_prd,low_tgt_loc,Occ33,Prod4,loc99
65736130,0,10.64,0,9 years,33.73,RENT,12000,125,-15,55000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ26,Prod3,loc240
65737464,0,7.26,0,10+ years,24.61,RENT,10000,148,-45,32000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ33,Prod3,loc121
65737664,0,8.38,0,3 years,14.42,MORTGAGE,28800,440,220,200000,medium_tgt_occ,low_tgt_prd,med_tgt_loc,Occ13,Prod3,loc494
65741544,0,20.99,0,10+ years,14.34,MORTGAGE,25000,683,70,150000,medium_tgt_occ,low_tgt_prd,high_tgt_loc,Occ42,Prod10,loc647
65743902,0,11.22,0,4 years,27.21,RENT,12000,114,-15,50000,medium_tgt_occ,low_tgt_prd,med_tgt_loc,Occ34,Prod2,loc381
65744697,0,18.2,0,10+ years,38.64,RENT,24025,147,50,60000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ33,Prod2,loc117
65745448,0,9.17,0,3 years,11.09,OWN,5875,129,-120,42000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ34,Prod2,loc371
65747185,0,5.32,0,10+ years,10.84,RENT,16000,160,15,120000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ42,Prod2,loc612
65751338,0,7.89,0,10+ years,28.42,RENT,15000,273,-70,65000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ44,Prod2,loc188
65752546,0,17.57,0,10+ years,26.22,MORTGAGE,28000,254,0,115000,low_tgt_occ,high_tgt_prd,low_tgt_loc,Occ19,Prod9,loc173
65753277,0,10.64,0,10+ years,24.8,MORTGAGE,14400,313,55,120000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ5,Prod3,loc718
65753448,0,15.41,2,10+ years,3.52,MORTGAGE,19200,106,110,100000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ11,Prod6,loc257
65754035,0,12.59,0,10+ years,14.69,MORTGAGE,11200,82,0,92000,medium_tgt_occ,low_tgt_prd,low_tgt_loc,Occ11,Prod2,loc261
65754379,0,17.86,0,< 1 year,12.42,RENT,30000,186,-5,114000,low_tgt_occ,low_tgt_prd,low_tgt_loc,Occ5,Prod3,loc757
65754540,0,8.38,2,10+ years,20.9,MORTGAGE,29400,180,-25,65000,medium_tgt_occ,low_tgt_prd,med_tgt_loc,Occ34,Prod3,loc381
